17.4880 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
17.4889 	INFO 	Loaded monitor calibration from ['2024_05_18 00:21']
17.7921 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B6280>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B6220>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B6070>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B9F45601C0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 300.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7921 	EXP 	window1: backgroundImage = ''
17.7922 	EXP 	window1: backgroundFit = 'none'
17.7924 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B63A0>
17.7925 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B63A0>
17.7947 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B63A0>
17.7953 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B9F41B63A0>
17.8019 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8033 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8048 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8065 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8083 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8094 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8107 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8121 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8129 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8137 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8149 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8161 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8172 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8184 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8196 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8209 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8225 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8237 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8250 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
17.8267 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
